title,price,location,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,garasi,carport,sertifikat,jumlah_lantai,url
"Rumah Baru Indent. *Satu Satunya Perumahan Baru Terbesar, Termurah, Termodern di Duri Kepa, Jakarta Barat Saat Ini* *Ada 44 Unit Rumah Baru Indent...**""Harga Pasaran Jual 2.5-2.9M, Kami Jual Jauh Dibawah Pasaran & Dgn Fasilitas N Promo Terbaik""*(Kode Rmrg",2270000000,Jakarta Barat Duri Kepa,64,181,5.0,4.0,0.0,2.0,SHM,3,https://www.rumah123.com/properti/jakarta-barat-duri-kepa/satu-satunya-perumahan-baru-terbesar-termurah-termodern-di-duri-kepa-jakarta-barat-saat-ini-ada-44-unit-rumah-baru-hos40995570/
Ana Rumah 3.5Lt Luas 4X16m Jalan Lebar Lokasi Strategis di Jelambar - * Good- Deal !!*,2100000000,Jakarta Barat Jelambar,64,168,3.0,3.0,1.0,1.0,SHM,4,https://www.rumah123.com/properti/jakarta-barat-jelambar/ana-rumah-35lt-luas-4x16m-jalan-lebar-lokasi-strategis-di-jelambar-good-deal-hos41207119/
"Rumah Ellit di Puri Indah, Deket dengan Sekolah,2 Mall Besar",15000000000,Jakarta Barat Puri Indah,465,486,6.0,5.0,2.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-barat-puri-indah/rumah-ellit-di-puri-indah-deket-dengan-sekolah2-mall-besar-hos39851580/
Dijual Murah Htung Tanah! Rumah Permata Buana Jakarta Barat,4500000000,Jakarta Barat Permata Buana,144,200,3.0,3.0,1.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-barat-permata-buana/dijual-murah-htung-tanah-rumah-permata-buana-jakarta-barat-hos40207599/
Rumah Baru 3 Lantai Bagus Megah Strategis Tomang Jakarta Barat,3300000000,Jakarta Barat Tomang,90,195,5.0,3.0,1.0,2.0,SHM,3,https://www.rumah123.com/properti/jakarta-barat-tomang/rumah-baru-3-lantai-bagus-megah-strategis-tomang-jakarta-barat-hos39011357/
Rumah 2Lt Bebas Banjir Strategis Permata Buana Jakarta Barat,4600000000,Jakarta Barat Permata Buana,144,148,4.0,3.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-barat-permata-buana/rumah-2lt-bebas-banjir-strategis-permata-buana-jakarta-barat-hos39277243/
Promo Gokil! Hanya 10 Pembeli Pertama,2270000000,Jakarta Barat Tanjung Duren,64,147,5.0,4.0,0.0,2.0,SHM,3,https://www.rumah123.com/properti/jakarta-barat-tanjung-duren/promo-gokil-hanya-10-pembeli-pertama-hos40936875/
Rumah Luas & Nyaman 14X38 Duri Kepa Kebon Jeruk Jakarta Barat,5500000000,Jakarta Barat Duri Kepa,535,410,5.0,5.0,2.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-barat-duri-kepa/rumah-luas-nyaman-14x38-hos40905831/
Rumah Baru 3.5Lt Bebas Banjir Kavling Polri Jelambar Jakarta Barat,3300000000,Jakarta Barat Jelambar,75,175,5.0,6.0,0.0,2.0,Lainnya,3,https://www.rumah123.com/properti/jakarta-barat-jelambar/rumah-baru-35lt-bebas-banjir-kavling-polri-jelambar-jakarta-barat-hos40087164/
"Dijual Rumah Paling Murah di Metland Menteng, Cluster 2Lt, Cakung Jakarta Timur",1400000000,Jakarta Timur Metland Menteng,96,100,3.0,3.0,1.0,0.0,SHM,2,https://www.rumah123.com/properti/jakarta-timur-metland-menteng/dijual-rumah-paling-murah-di-metland-menteng-cluster-2lt-cakung-jakarta-timur-hos41094511/
Jual Rumah Mewah 15X23m2 di Rawamangun,8800000000,Jakarta Timur Rawamangun,350,800,4.0,3.0,0.0,2.0,SHM,3,https://www.rumah123.com/properti/jakarta-timur-rawamangun/jual-rumah-mewah-15x23m2-di-rawamangun-hos41164767/
Dijual Rumah Hook Kokoh Dalam Komplek Besar di Rawa Mangun Jaktim,16500000000,Jakarta Timur Rawamangun,1260,600,5.0,4.0,4.0,3.0,SHM,1,https://www.rumah123.com/properti/jakarta-timur-rawamangun/dijual-rumah-hook-kokoh-dalam-komplek-besar-di-rawa-mangun-jaktim-hos18726767/
Rumah Mewah Termurah di Dekat Aeon Mall dan Ikea Jakarta Garden City Cakung,2150000000,Jakarta Timur Jakarta Garden City,84,79,3.0,2.0,0.0,2.0,PPJB,2,https://www.rumah123.com/properti/jakarta-timur-jakarta-garden-city/rumah-mewah-termurah-di-dekat-aeon-mall-dan-ikea-jakarta-garden-city-cakung-hos14773444/
Rumah Mewah Murah Siap Huni di Pulogebang Cakung Jakarta Timur,3700000000,Jakarta Timur Cakung,363,262,4.0,5.0,1.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-mewah-murah-siap-huni-di-pulogebang-cakung-jakarta-timur-hos39979318/
Rumah Luas Megah 3 Lantai dengan 5 Kamar Tidur Dijual di Jakarta Timur Sangat Premium,5400000000,Jakarta Timur Jakarta Garden City,105,180,5.0,5.0,1.0,1.0,Lainnya,3,https://www.rumah123.com/properti/jakarta-timur-jakarta-garden-city/rumah-luas-megah-3-lantai-dengan-5-kamar-tidur-dijual-di-jakarta-timur-sangat-premium-hos40852766/
Dijual Rumah Tinggal & Kost-Kosan 2Lt Luas 800M Cipinang Jakarta Timur,16000000000,Jakarta Timur Cipinang,800,800,10.0,12.0,0.0,0.0,SHM,2,https://www.rumah123.com/properti/jakarta-timur-cipinang/dijual-rumah-kostkosan-2lt-luas-800m-cipinang-jakarta-timur-hos40956800/
Hunian Mewah Nyaman Cocok untuk Keluarga Punya 5 Kamar Dilengkapi Fasilitas Lengkap,5400000000,Jakarta Timur Rawamangun,105,180,5.0,5.0,1.0,1.0,Lainnya,3,https://www.rumah123.com/properti/jakarta-timur-rawamangun/hunian-mewah-nyaman-cocok-untuk-keluarga-punya-5-kamar-dilengkapi-fasilitas-lengkap-hos40852702/
Rumah Mewah di Jaktim Akses Mudah dengan Fasilitas Sangat Lengkap 3 Lantai,5400000000,Jakarta Timur Cakung,105,180,5.0,5.0,2.0,2.0,Lainnya,3,https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-mewah-di-jaktim-akses-mudah-dengan-fasilitas-sangat-lengkap-3-lantai-hos40855356/
Cluster Paling Termurah di Jgc Cakung Jakarta Timur Harga Promo Berkah Ramadhan Free Ac Free Biaya Surat2. di Bantu Lolos KPR bisa Cicil DP,928000000,Jakarta Timur Cakung,50,57,3.0,2.0,1.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-timur-cakung/paling-murahhhh-rumah-cluster-baru-florence-village-di-jgc-hos40714116/
Hunian Mewah Cluter Vastu Promo Berkah Ramadhan Cukup 30 Juta Aja Tanpa DP dan Free Biaya2 di Bantu Lolos KPR Tanpa Ribet Bebas Banjir Banyak Bonus Lainnya di Jgc Cakung Jakarta. Timur Aq Dampingi Sampai Dapet Kunci,3160000000,Jakarta Timur Cakung,105,140,4.0,3.0,2.0,1.0,HGB,2,https://www.rumah123.com/properti/jakarta-timur-cakung/gubrakan-promo-akhir-tahun-mandi-free-ratusan-juta-rumah-mewah-siap-huni-tanpa-dp-di-bantu-lolos-kpr-dan-banyak-bonus-hos16946425/
Promo Berkah Ramadhan Discount 35%. Pasti Lebih Murah di Bantu Lolos KPR Banyak Free Lainnya Rumah Siap Huni Bebas Banjir Jgc Cakung Jakarta Timur,2200000000,Jakarta Timur Cakung,105,156,4.0,4.0,2.0,2.0,HGB,2,https://www.rumah123.com/properti/jakarta-timur-cakung/harga-anjlok-ngabisin-unit-promo-ratusan-juta-free-biaya-surat2-di-bantu-lolos-kpr-banyak-free-lain-rumah-siap-huni-hos18572090/
Rumah Siap Huni Deket Tol LRT Cibubur Bebas Custom Layout Dp 0%,1000000000,Jakarta Timur Cibubur,84,87,3.0,3.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-timur-cibubur/rumah-siaphuni-deket-tol-lrt-cibubur-bebas-custom-layout-dp-0-hos40505637/
Rumah Mewah Luas Modern Baru 4BR Kota Wisata Cibubur Strategis Free DP,3400000000,Jakarta Timur Cibubur,120,149,4.0,4.0,1.0,1.0,Lainnya,2,https://www.rumah123.com/properti/jakarta-timur-cibubur/rumah-mewah-luas-modern-baru-4br-kota-wisata-cibubur-strategis-free-dp-hos38996956/
Rumah Mewah PIK Garden House Furnish Kolam Renang (450m),25000000000,Jakarta Utara Pantai Indah Kapuk,450,800,5.0,4.0,2.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-mewah-pik-garden-house-furnish-kolam-renang-450m-hos39788891/
Dijual Rumah Mewah Siapa Huni di Bukit Golf Mediterania Pik,13000000000,Jakarta Utara Pantai Indah Kapuk,325,263,6.0,6.0,1.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/dijual-rumah-mewah-siapa-huni-di-bukit-golf-mediterania-pik-hos41191024/
Rumah Pluit Karang Cantik Muara Karang Penjaringan Jakarta Utara,3000000000,Jakarta Utara Muara Karang,120,300,4.0,5.0,0.0,0.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-muara-karang/rumah-pluit-karang-cantik-muara-karang-penjaringan-jakarta-utara-hos39159823/
Termurah Jual Rumah Hoek 17X18m2 LT Marmer Janur Elok Anti Banjir,7100000000,Jakarta Utara Kelapa Gading,306,360,4.0,3.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/jual-cepat-rumah-hoek-17x18m2-lt-marmer-janur-elok-anti-banjir-hos41048555/
Dijual Rumah Kelapa Gading !! Murah Siap Huni Kosongan 2 Lantai,1100000000,Jakarta Utara Kelapa Gading,60,84,2.0,2.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-rumah-kelapa-gading-murah-siap-huni-kosongan-2-lantai-hos39272819/
Rumah Siap Huni Minimalis Semifurnished Rumah,3500000000,Jakarta Utara Sunter,96,175,4.0,3.0,1.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-sunter/rumah-siap-huni-minimalis-semifurnished-rumah-hos40558635/
Dijual Rumah Brand New Pik 2 Millenial Harga Nego,1250000000,Jakarta Utara Pantai Indah Kapuk 2,45,54,2.0,2.0,0.0,0.0,PPJB,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/dijual-rumah-brand-new-pik-2-millenial-harga-nego-hos41105631/
Rumah Katamaran Indah Minimalis Modern 4 Lantai Siap Huni,18000000000,Jakarta Utara Pantai Indah Kapuk,312,1050,6.0,7.0,0.0,0.0,SHM,4,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-katamaran-indah-minimalis-modern-4-lantai-siap-huni-hos39863613/
Rumah 3 Lantai Pantai Indah Kapuk Harga Nego,6600000000,Jakarta Utara Pantai Indah Kapuk,200,350,4.0,4.0,0.0,0.0,SHM,3,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-3-lantai-pantai-indah-kapuk-harga-nego-hos40556892/
"Dijual Rumah.mayang Permai, Pantai Indah Kapuk 1",6500000000,Jakarta Utara Pantai Indah Kapuk,150,400,5.0,5.0,3.0,2.0,SHM,4,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/dijual-rumahmayang-permai-pantai-indah-kapuk-1-hos40938899/
Paling Murah Vila Pasir Putih 10X20 Akan Terjual Cepat,7500000000,Jakarta Utara Pantai Indah Kapuk 2,200,2353,3.0,3.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/paling-murah-vila-pasir-putih-10x20-akan-terjual-cepat-hos41195572/
Turun Harga! Rumah 8X20 Mozart Golf Island 3 Lantai Full Furnished Best Deal!,8600000000,Jakarta Utara Pantai Indah Kapuk,160,400,3.0,3.0,0.0,2.0,HGB,3,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/turun-harga-rumah-8x20-mozart-golf-island-3-lantai-full-furnished-best-deal-hos40515956/
Turun Harga! Bangunan Kontraktor Uk 7X25 Walet Pik 1 Segera Terjual,4900000000,Jakarta Utara Pantai Indah Kapuk,175,210,4.0,3.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/turun-harga-bangunan-kontraktor-uk-7x25-walet-pik-1-segera-terjual-hos19121000/
Rumah Janur Elok Kelapa Gading 2 Lantai 4 Kamar,3500000000,Jakarta Utara Kelapa Gading,108,156,4.0,2.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/rumah-janur-elok-kelapa-gading-2-lantai-4-kamar-hos41081041/
Rumah Bagus Cantik Siap Huni Bukit Gading Mediterania Kelapa Gading Murah,4800000000,Jakarta Utara Kelapa Gading,120,190,4.0,3.0,0.0,3.0,SHM,2,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/rumah-bagus-cantik-siap-huni-bukit-gading-mediterania-kelapa-gading-murah-hos41121857/
"Rumah 2 Lantai Dekat Kfc Cempaka Putih, Jakarta Pusat",1400000000,Jakarta Pusat Cempaka Putih,55,72,3.0,3.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-2-lantai-dekat-kfc-cempaka-putih-jakarta-pusat-hos16149580/
"Dekat Akses Tol, Rumah, 4 Lantai, Dekat Sekolah Internasional,",4800000000,Jakarta Pusat Kemayoran,120,293,4.0,4.0,3.0,1.0,Lainnya,4,https://www.rumah123.com/properti/jakarta-pusat-kemayoran/dekat-akses-tol-rumah-4-lantai-dekat-sekolah-internasional-hos40511283/
Rumah Baru Brand New Cempaka Putih Semi Furnish SHM,4500000000,Jakarta Pusat Cempaka Putih,115,200,4.0,3.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-baru-brand-new-cempaka-putih-semi-furnish-shm-hos41089156/
Rumah Mewah Belakang Yarsi Cempaka Putih,3500000000,Jakarta Pusat Cempaka Putih,92,172,4.0,4.0,1.0,1.0,SHM,3,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-mewah-belakang-yarsi-cempaka-putih-hos41206857/
Ready Siap Huni Cempaka Putih,1800000000,Jakarta Pusat Cempaka Putih,63,126,3.0,3.0,1.0,1.0,SHM,3,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/ready-siap-huni-cempaka-putih-hos40670281/
Ready Siap Huni Akses Motor Jakpus,475000000,Jakarta Pusat Cempaka Putih,22,50,2.0,2.0,0.0,1.0,SHM,3,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/ready-siap-huni-akses-motor-jakpus-hos39909974/
Kpr Rumah Akses Mobil Cempaka Putih,900000000,Jakarta Pusat Cempaka Putih,27,60,2.0,2.0,1.0,0.0,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/kpr-rumah-akses-mobil-cempaka-putih-hos39909830/
2 Lantai KPR Siap Huni Kemayoran Lokasi Pinggir Jalan,1300000000,Jakarta Pusat Kemayoran,45,80,2.0,2.0,1.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-kemayoran/2-lantai-kpr-siap-huni-kemayoran-lokasi-pinggir-jalan-hos39931701/
Di Jual Rumah 2Lt Percetakan Negara Dekat Bpom Jakarta Pusat,733000000,Jakarta Pusat Percetakan Negara,38,74,2.0,2.0,1.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-percetakan-negara/di-jual-rumah-percetakan-negara-dekat-pt-bpom-jakarta-pusat-hos39765694/
Di Jual Rumah Dwiwarna 3Lt 869Jt Bebas Banjir,869000000,Jakarta Pusat Sawah Besar,24,45,1.0,1.0,1.0,1.0,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-sawah-besar/di-jual-rumah-2-lantai-695jt-dwiwarna-jakarta-pusat-hos39322341/
Rumah Baru Siaphuni Jakarta Pusat 3 Lantai Pinggir Jalan Sisa 1,2500000000,Jakarta Pusat Thamrin,60,135,4.0,4.0,0.0,2.0,SHM,3,https://www.rumah123.com/properti/jakarta-pusat-thamrin/rumah-baru-siaphuni-jakarta-pusat-3-lantai-pinggir-jalan-sisa-1-hos40488809/
Dijual Cepat Rumah atau Landed Apartemen atau Kosts Menguntungkan Seperti Mini Hotel Omset Menguntungkan Karna Sudah Terisi Penyewa bisa untuk Investasi atau bisa Rumah Tinggal atau Kantor atau Buat Ruang Usaha atau Buat Lainnya Lokasi Prime Area Dekat Su,54900000000,Jakarta Pusat Menteng,629,505,8.0,8.0,0.0,6.0,Lainnya,2,https://www.rumah123.com/properti/jakarta-pusat-menteng/dijual-rumah-gaya-kolonial-modern-area-menteng-jakarta-pusat-hos40112108/
Dijual Rumah Menteng Luxury Bisa Buat Tempat Tinggal Atau Kantor Bangunan Kokoh Harga Murah Siap Huni Dekat Kuningan Dan Senayan Dan Thamrin Dan Sudirman Area Menteng Jakarta Pusat,22000000000,Jakarta Pusat Menteng,537,600,8.0,8.0,0.0,7.0,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-menteng/dijual-rumah-menteng-luxury-bisa-buat-tempat-tinggal-atau-kantor-bangunan-kokoh-harga-murah-siap-huni-dekat-kuningan-hos40365672/
Dijual Cepat Rumah Cantik Murah Lokasi Strategis Dekat Tool Dan Sekolah Dekat Cempaka Putih Dan Menteng Area Kemayoran Jakarta Pusat,8500000000,Jakarta Pusat Kemayoran,251,600,7.0,5.0,0.0,3.0,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-kemayoran/dijual-cepat-rumah-cantik-murah-lokasi-strategis-dekat-tool-dan-sekolah-dekat-cempaka-putih-dan-menteng-area-kemayoran-hos40588008/
Rumah 2 Lantai di Menteng Terdiri Dari 3 Pavilion,50000000000,Jakarta Pusat Menteng,795,550,7.0,5.0,2.0,4.0,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-2-lantai-di-menteng-terdiri-dari-3-pavilion-hos41169242/
"Dijual Rumah Mewah Classic Eropa Sentul City, 8 Menit Ke Exit Tol",18500000000,Bogor Sentul City,867,650,7.0,8.0,4.0,2.0,SHM,2,https://www.rumah123.com/properti/bogor-sentul-city/dijual-rumah-mewah-classic-eropa-sentul-city-8-menit-ke-exit-tol-hos39459986/
"Rumah cantik 2 Lantai Furnished SHM View Pegunungan Sentul City, Bogor",2500000000,Bogor Sentul City,200,200,4.0,3.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/bogor-sentul-city/rumah-cantik-2-lantai-furnished-shm-view-pegunungan-sentul-city-bogor-hos15838760/
Rumah Mewah Modern di Legenda Wisata Cibubur,3150000000,Bogor Legenda Wisata,210,250,4.0,3.0,0.0,3.0,SHM,2,https://www.rumah123.com/properti/bogor-legenda-wisata/rumah-mewah-modern-di-legenda-wisata-cibubur-hos17981867/
Rumah Dijual di Cluster Bukit Golf Hijau SHM,2350000000,Bogor Sentul City,220,300,5.0,5.0,1.0,1.0,SHM,2,https://www.rumah123.com/properti/bogor-sentul-city/rumah-dijual-di-cluster-bukit-golf-hijau-shm-hos41121834/
"Dijual Rumah Baru 2 Kamar Tidur di Bogor, Murah & Dekat Transum",590000000,Bogor Sentul,60,30,2.0,1.0,1.0,1.0,SHM,1,https://www.rumah123.com/properti/bogor-sentul/dijual-rumah-baru-2-kamar-tidur-di-bogor-murah-dekat-transum-hos41073856/
For Sale Rumah Elit 2 Lantai di Bogor dengan Fasilitas Sangat Lengkap,2000000000,Bogor Sentul City,98,107,4.0,4.0,1.0,1.0,Lainnya,2,https://www.rumah123.com/properti/bogor-sentul-city/for-sale-rumah-elit-2-lantai-di-bogor-selangkah-ke-teras-by-plataran-summarecon-bogor-hos41099349/
Jual Rumah Baru Murah 2 Kamar Tidur di Bogor Siap Huni Free PPN BPHTB SHM,580000000,Bogor Cibinong,60,30,2.0,1.0,1.0,1.0,Lainnya,1,https://www.rumah123.com/properti/bogor-cibinong/jual-rumah-baru-murah-2-kamar-tidur-di-bogor-siap-huni-free-ppn-bphtb-shm-hos39194999/
