title,price,location,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,garasi,carport,sertifikat,jumlah_lantai,url
Jual Cepat Rumah Siap Huni 2 Lantai di Cluster,1290000000,Depok Pancoran Mas,87,85,3.0,2.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/depok-pancoran-mas/jual-cepat-rumah-siap-huni-2-lantai-di-cluster-hos41202848/
Rumah Ready 2 Lantai Dekat ke Kawasan Lippo Karawaci Tangerang,910000000,Tangerang Karawaci,60,60,3.0,2.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/tangerang-karawaci/rumah-2-lantai-dekat-ke-kawasan-lippo-karawaci-tangerang-hos40223964/
Rumah Ready Stock Lokasi Strategis ke Lippo Karawaci & Gading,789000000,Tangerang Karawaci,72,40,2.0,1.0,0.0,1.0,SHM,1,https://www.rumah123.com/properti/tangerang-karawaci/rumah-siap-huni-lokasi-strategis-ke-lippo-karawaci-gading-hos19423701/
Rumah 2 Lantai Full Renovasi Greenwich Mayfield Gading Serpong BSD City Tangerang Banten,4099999999,Tangerang Bsd City,160,220,4.0,3.0,2.0,2.0,SHM,3,https://www.rumah123.com/properti/tangerang-bsd-city/rumah-2-lantai-full-renovasi-greenwich-mayfield-gading-serpong-bsd-city-tangerang-banten-hos40149302/
Rumah 3 Lantai Full Renovasi The Eminent Quantis Signature BSD City Gading Serpong Tangerang Banten,5500000000,Tangerang Bsd City,162,204,6.0,4.0,2.0,2.0,PPJB,3,https://www.rumah123.com/properti/tangerang-bsd-city/rumah-3-lantai-full-renovasi-the-eminent-quantis-signature-bsd-city-gading-serpong-tangerang-banten-hos39725119/
Rumah 2 Lantai Full Renovasi The Eminent Ingenia Gading Serpong BSD City Tangerang Banten Jesl,3500000000,Tangerang Bsd City,175,200,5.0,4.0,2.0,2.0,SHM,2,https://www.rumah123.com/properti/tangerang-bsd-city/rumah-2-lantai-full-renovasi-the-eminent-ingenia-gading-serpong-bsd-city-tangerang-banten-jesl-hos41177255/
Turun Harga!!! Murah Banget! Rumah Hoek Sutera Orlanda Alam Sutera,8400000000,Tangerang Alam Sutera,390,350,4.0,3.0,2.0,2.0,SHM,2,https://www.rumah123.com/properti/tangerang-alam-sutera/murah-banget-rumah-hoek-sutera-orlanda-alam-sutera-hos41145539/
Rumah Brand New Di Alamsutera!!!!!!,13200000000,Tangerang Alam Sutera,240,700,6.0,1.0,0.0,0.0,PPJB,4,https://www.rumah123.com/properti/tangerang-alam-sutera/rumah-brand-new-di-alamsutera-hos40235725/
Rumah 3 Kamar Siap Huni Dekat Akses Toll dan Stasiun,1200000000,Tangerang Selatan Bsd,72,57,3.0,2.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/tangerang-selatan-bsd/rumah-3-kamar-siap-huni-dekat-akses-toll-dan-stasiun-free-biaya-surat-hos40140208/
"Rumah 4 Kamar Dekat Ice Bsd, Aeon Mall, Toll, Selangkah ke Stasiun, Tanpa Dp",2190000000,Tangerang Bsd,98,126,4.0,3.0,0.0,2.0,SHM,2,https://www.rumah123.com/properti/tangerang-bsd/rumah-4-kamar-dekat-ice-bsd-aeon-mall-toll-selangkah-ke-stasiun-tanpa-dp-hos17916607/
Dijual B U Rumah Hook 2 Lantai di Gading Serpong,2800000000,Tangerang Gading Serpong,198,195,4.0,4.0,1.0,1.0,SHM,1,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-rumah-hook-2-lantai-di-gading-serpong-hos41014529/
*Rk* Tinggal Bawa Koper Rumah Full Interior di Cluster Fiordini Illago Paramount Hadap Selatan SHM,2590000000,Tangerang Gading Serpong,119,120,3.0,2.0,0.0,1.0,SHM,2,https://www.rumah123.com/properti/tangerang-gading-serpong/rk-tinggal-bawa-koper-rumah-full-interior-di-cluster-fiordini-illago-paramount-hadap-selatan-shm-hos41174895/
Rumah 2 Lantai Full Renovasi Scientia Garden Darwin Gading Serpong BSD City Tangerang Banten,1900000000,Tangerang Gading Serpong,126,100,3.0,3.0,2.0,2.0,SHM,2,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-scientia-garden-darwin-gading-newton-bsd-city-tangerang-banten-hos40358783/
Rumah 2 Lantai Full Renovasi Scientia Garden Volta Gading Serpong BSD City Tangerang Banten,2400000000,Tangerang Gading Serpong,121,156,4.0,3.0,2.0,2.0,SHM,2,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-scientia-garden-volta-gading-serpong-bsd-city-tangerang-banten-hos39618964/
