,title,price,location,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,garasi,carport,sertifikat,jumlah_lantai,url
100,"Rumah Bagus 2 Lantai Kondisi Baru Dijual Dekat Sekolah, Kampus, dan Toll","Rp 1,2 Miliar",Depok Cimanggis,62 m²,52 m²,2,1,1,1,Lainnya,2,https://www.rumah123.com/properti/depok-cimanggis/rumah-bagus-2-lantai-kondisi-baru-dijual-dekat-sekolah-kampus-dan-toll-hos40784249/
101,Di Jual Rumah Harga NJOP,"Rp 3,9 Miliar",Depok Cinere,270 m²,300 m²,5,3,2,2,SHM,3,https://www.rumah123.com/properti/depok-cinere/di-jual-rumah-harga-njop-hos16917333/
102,Di Jual Cepat dan Murah Cinere,"Rp 4,2 Miliar",Depok Cinere,280 m²,350 m²,4,3,1,1,SHM,2,https://www.rumah123.com/properti/depok-cinere/di-jual-cepat-dan-murah-cinere-hos16916209/
103,Jual Cepat Rumah Siap Huni 2 Lantai di Cluster,"Rp 1,29 Miliar",Depok Pancoran Mas,87 m²,85 m²,3,2,,1,SHM,2,https://www.rumah123.com/properti/depok-pancoran-mas/jual-cepat-rumah-siap-huni-2-lantai-di-cluster-hos41202848/
104,Rumah Ready 2 Lantai Dekat ke Kawasan Lippo Karawaci Tangerang,Rp 910 Juta,Tangerang Karawaci,60 m²,60 m²,3,2,,1,SHM,2,https://www.rumah123.com/properti/tangerang-karawaci/rumah-2-lantai-dekat-ke-kawasan-lippo-karawaci-tangerang-hos40223964/
105,Rumah Ready Stock Lokasi Strategis ke Lippo Karawaci & Gading,Rp 789 Juta,Tangerang Karawaci,72 m²,40 m²,2,1,,1,SHM,1,https://www.rumah123.com/properti/tangerang-karawaci/rumah-siap-huni-lokasi-strategis-ke-lippo-karawaci-gading-hos19423701/
106,Rumah 2 Lantai Full Renovasi Greenwich Mayfield Gading Serpong BSD City Tangerang Banten,"Rp 4,1 Miliar",Tangerang Bsd City,160 m²,220 m²,4,3,2,2,SHM,3,https://www.rumah123.com/properti/tangerang-bsd-city/rumah-2-lantai-full-renovasi-greenwich-mayfield-gading-serpong-bsd-city-tangerang-banten-hos40149302/
107,Rumah 3 Lantai Full Renovasi The Eminent Quantis Signature BSD City Gading Serpong Tangerang Banten,"Rp 5,5 Miliar",Tangerang Bsd City,162 m²,204 m²,6,4,2,2,PPJB,3,https://www.rumah123.com/properti/tangerang-bsd-city/rumah-3-lantai-full-renovasi-the-eminent-quantis-signature-bsd-city-gading-serpong-tangerang-banten-hos39725119/
108,Rumah 2 Lantai Full Renovasi The Eminent Ingenia Gading Serpong BSD City Tangerang Banten Jesl,"Rp 3,5 Miliar",Tangerang Bsd City,175 m²,200 m²,5,4,2,2,SHM,2,https://www.rumah123.com/properti/tangerang-bsd-city/rumah-2-lantai-full-renovasi-the-eminent-ingenia-gading-serpong-bsd-city-tangerang-banten-jesl-hos41177255/
109,Turun Harga!!! Murah Banget! Rumah Hoek Sutera Orlanda Alam Sutera,"Rp 8,4 Miliar",Tangerang Alam Sutera,390 m²,350 m²,4,3,2,2,SHM,2,https://www.rumah123.com/properti/tangerang-alam-sutera/murah-banget-rumah-hoek-sutera-orlanda-alam-sutera-hos41145539/
110,Rumah Brand New Di Alamsutera!!!!!!,"Rp 13,2 Miliar",Tangerang Alam Sutera,240 m²,700 m²,6,,,,PPJB,4,https://www.rumah123.com/properti/tangerang-alam-sutera/rumah-brand-new-di-alamsutera-hos40235725/
111,Rumah 3 Kamar Siap Huni Dekat Akses Toll dan Stasiun,"Rp 1,2 Miliar",Tangerang Selatan Bsd,72 m²,57 m²,3,2,,1,SHM,2,https://www.rumah123.com/properti/tangerang-selatan-bsd/rumah-3-kamar-siap-huni-dekat-akses-toll-dan-stasiun-free-biaya-surat-hos40140208/
112,"Rumah 4 Kamar Dekat Ice Bsd, Aeon Mall, Toll, Selangkah ke Stasiun, Tanpa Dp","Rp 2,19 Miliar",Tangerang Bsd,98 m²,126 m²,4,3,,2,SHM,2,https://www.rumah123.com/properti/tangerang-bsd/rumah-4-kamar-dekat-ice-bsd-aeon-mall-toll-selangkah-ke-stasiun-tanpa-dp-hos17916607/
113,Dijual B U Rumah Hook 2 Lantai di Gading Serpong,"Rp 2,8 Miliar",Tangerang Gading Serpong,198 m²,195 m²,4,4,1,1,SHM,1,https://www.rumah123.com/properti/tangerang-gading-serpong/dijual-rumah-hook-2-lantai-di-gading-serpong-hos41014529/
114,*Rk* Tinggal Bawa Koper Rumah Full Interior di Cluster Fiordini Illago Paramount Hadap Selatan SHM,"Rp 2,59 Miliar",Tangerang Gading Serpong,119 m²,120 m²,3,2,,1,SHM,2,https://www.rumah123.com/properti/tangerang-gading-serpong/rk-tinggal-bawa-koper-rumah-full-interior-di-cluster-fiordini-illago-paramount-hadap-selatan-shm-hos41174895/
115,Rumah 2 Lantai Full Renovasi Scientia Garden Darwin Gading Serpong BSD City Tangerang Banten,"Rp 1,9 Miliar",Tangerang Gading Serpong,126 m²,100 m²,3,3,2,2,SHM,2,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-scientia-garden-darwin-gading-newton-bsd-city-tangerang-banten-hos40358783/
116,Rumah 2 Lantai Full Renovasi Scientia Garden Volta Gading Serpong BSD City Tangerang Banten,"Rp 2,4 Miliar",Tangerang Gading Serpong,121 m²,156 m²,4,3,2,2,SHM,2,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-scientia-garden-volta-gading-serpong-bsd-city-tangerang-banten-hos39618964/
117,Rumah 2 Lantai Full Renovasi Trimezia Gading Serpong BSD City Tangerang Banten,"Rp 2,65 Miliar",Tangerang Gading Serpong,120 m²,120 m²,3,3,2,2,SHM,2,https://www.rumah123.com/properti/tangerang-gading-serpong/rumah-2-lantai-full-renovasi-trimezia-gading-serpong-bsd-city-tangerang-banten-hos40646094/
118,Di Jual Cepat Rumah Minimalis 2Lt 4Kt di Harapan Indah Bekasi,"Rp 1,5 Miliar",Bekasi Harapan Indah,112 m²,159 m²,4,4,1,,SHM,2,https://www.rumah123.com/properti/bekasi-harapan-indah/di-jual-rumah-minimalis-2lt-4kt-di-harapan-indah-bekasi-hos41189726/
119,Rumah 2 Lantai Lokasi Strategis Siap Huni Jatibening Bekasi,"Rp 4,9 Miliar",Bekasi Jatibening,310 m²,550 m²,7,7,,2,SHM,2,https://www.rumah123.com/properti/bekasi-jatibening/rumah-mewah-modern-2-lantai-siap-huni-jatibening-hos41149947/
120,Rumah Dijual 3 Lantai Mewah Premium Elit Luas Lokasi Strategis Dekat Mall,"Rp 6,8 Miliar",Bekasi Harapan Indah,160 m²,215 m²,5,6,2,2,Lainnya,3,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-dijual-3-lantai-mewah-premium-elit-luas-lokasi-strategis-dekat-mall-hos41056007/
121,"Rumah 3 Lantai Take Over di Jati Asih Bekasi, Full Furnished",Rp 400 Juta,Bekasi Jati Asih,68 m²,100 m²,3,3,,2,SHM,3,https://www.rumah123.com/properti/bekasi-jati-asih/rumah-3-lantai-take-over-di-jati-asih-bekasi-full-furnished-hos41061961/
122,"Rumah Hoek Baru, di Summarecon Crown Gading, 5 Kamar","Rp 7,75 Miliar",Bekasi Summarecon Bekasi,272 m²,310 m²,4,4,,,SHM,1,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/rumah-hoek-baru-di-summarecon-crown-gading-5-kamar-hos40961700/
123,Dijual Rumah Mewah Bagus 3 Lantai Fasilitas Lengkap,"Rp 4,6 Miliar",Bekasi Harapan Indah,112 m²,156 m²,5,4,2,2,Lainnya,3,https://www.rumah123.com/properti/bekasi-harapan-indah/dijual-rumah-mewah-bagus-3-lantai-fasilitas-lengkap-hos40315275/
124,Rumah Premium 2 Lantai Lokasi Strategis Ada Danau Dalam Kawasan,"Rp 2,3 Miliar",Bekasi Harapan Indah,84 m²,87 m²,3,3,1,1,Lainnya,2,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-premium-2-lantai-lokasi-strategis-ada-danau-dalam-kawasan-hos40222418/
125,Hunian Nyaman Luas 3 Lantai Dekat Mall Fasilitas Lengkap,"Rp 4,6 Miliar",Bekasi Summarecon Bekasi,112 m²,156 m²,5,4,2,2,Lainnya,3,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/hunian-nyaman-luas-3-lantai-dekat-mall-fasilitas-lengkap-hos40315311/
126,Rumah Baru Elit dan Mewah 2 Lantai Strategis Fasilitas Komplit,"Rp 2,3 Miliar",Bekasi Summarecon Bekasi,84 m²,87 m²,3,3,1,1,Lainnya,2,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/rumah-baru-elit-dan-mewah-2-lantai-strategis-fasilitas-komplit-hos40222478/
127,Dijual Rumah Kondisi Baru 3 Lantai Super Mewah Premium Area Strategis,"Rp 6,8 Miliar",Bekasi Jatibening,160 m²,215 m²,4,5,2,2,Lainnya,3,https://www.rumah123.com/properti/bekasi-jatibening/dijual-rumah-kondisi-baru-3-lantai-super-mewah-premium-area-strategis-hos41056047/
128,Dijual Rumah Siap Huni di Jalan Utama Pondok Gede Bekasi,Rp 2 Miliar,Bekasi Jatiwaringin,108 m²,165 m²,3,3,,2,SHM,2,https://www.rumah123.com/properti/bekasi-jatiwaringin/dijual-rumah-siap-huni-di-jalan-utama-pondok-gede-bekasi-hos16920702/
129,Rumah Strategis di Kota Harapan Indah - Jl. Salak Sudah SHM | Hanya 700 Juta! (028),Rp 700 Juta,Bekasi Harapan Indah,81 m²,81 m²,2,1,,1,SHM,1,https://www.rumah123.com/properti/bekasi-harapan-indah/rumah-strategis-di-kota-harapan-indah-jl-salak-sudah-shm-hanya-700-juta-028-hos41146502/
130,Jual Rumah 2 Lantai Hoek Lokasi Bagus Tanah Luas SHM Dekat Clubhouse Palm Residence dan Summarecon Mal Bekasi,"Rp 3,9 Miliar",Bekasi Summarecon Bekasi,240 m²,150 m²,3,3,1,1,SHM,2,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/jualbrumah-2-lantai-hoek-lokasi-bagus-tanah-luas-shm-dekat-clubhouse-palm-residence-dan-summarecon-mal-bekasi-hos40922431/
131,Jual Rumah Murah Scandinavian di Bekasi Timur Regency Mustikajaya,Rp 850 Juta,Bekasi Bekasi,78 m²,96 m²,3,3,,1,SHM,2,https://www.rumah123.com/properti/bekasi-bekasi/jual-rumah-murah-scandinavian-di-bekasi-timur-regency-mustikajaya-hos41102348/
132,Rumah Hook Besar Dekat Club House di Summarecon Bekasi,"Rp 4,25 Miliar",Bekasi Summarecon Bekasi,180 m²,150 m²,4,3,,2,PPJB,2,https://www.rumah123.com/properti/bekasi-summarecon-bekasi/rumah-hook-besar-dekat-club-house-di-summarecon-bekasi-hos40517002/
