,title,price,location,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi,garasi,carport,sertifikat,jumlah_lantai,url
26,Rumah 2Lt Bebas Banjir Strategis Permata Buana Jakarta Barat,"Rp 4,6 Miliar",Jakarta Barat Permata Buana,144 m²,148 m²,4,3,,1,SHM,2,https://www.rumah123.com/properti/jakarta-barat-permata-buana/rumah-2lt-bebas-banjir-strategis-permata-buana-jakarta-barat-hos39277243/
27,Promo Gokil! Hanya 10 Pembeli Pertama,"Rp 2,27 Miliar",Jakarta Barat Tanjung Duren,64 m²,147 m²,5,4,,2,SHM,3,https://www.rumah123.com/properti/jakarta-barat-tanjung-duren/promo-gokil-hanya-10-pembeli-pertama-hos40936875/
28,Rumah Luas & Nyaman 14X38 Duri Kepa Kebon Jeruk Jakarta Barat,"Rp 5,5 Miliar",Jakarta Barat Duri Kepa,535 m²,410 m²,5,5,2,1,SHM,2,https://www.rumah123.com/properti/jakarta-barat-duri-kepa/rumah-luas-nyaman-14x38-hos40905831/
29,Rumah Baru 3.5Lt Bebas Banjir Kavling Polri Jelambar Jakarta Barat,"Rp 3,3 Miliar",Jakarta Barat Jelambar,75 m²,175 m²,5,6,,2,Lainnya,3,https://www.rumah123.com/properti/jakarta-barat-jelambar/rumah-baru-35lt-bebas-banjir-kavling-polri-jelambar-jakarta-barat-hos40087164/
30,"Dijual Rumah Paling Murah di Metland Menteng, Cluster 2Lt, Cakung Jakarta Timur","Rp 1,4 Miliar",Jakarta Timur Metland Menteng,96 m²,100 m²,3,3,1,,SHM,2,https://www.rumah123.com/properti/jakarta-timur-metland-menteng/dijual-rumah-paling-murah-di-metland-menteng-cluster-2lt-cakung-jakarta-timur-hos41094511/
31,Jual Rumah Mewah 15X23m2 di Rawamangun,"Rp 8,8 Miliar",Jakarta Timur Rawamangun,350 m²,800 m²,4,3,,2,SHM,3,https://www.rumah123.com/properti/jakarta-timur-rawamangun/jual-rumah-mewah-15x23m2-di-rawamangun-hos41164767/
32,Dijual Rumah Hook Kokoh Dalam Komplek Besar di Rawa Mangun Jaktim,"Rp 16,5 Miliar",Jakarta Timur Rawamangun,1260 m²,600 m²,5,4,4,3,SHM,1,https://www.rumah123.com/properti/jakarta-timur-rawamangun/dijual-rumah-hook-kokoh-dalam-komplek-besar-di-rawa-mangun-jaktim-hos18726767/
33,Rumah Mewah Termurah di Dekat Aeon Mall dan Ikea Jakarta Garden City Cakung,"Rp 2,15 Miliar",Jakarta Timur Jakarta Garden City,84 m²,79 m²,3,2,,2,PPJB,2,https://www.rumah123.com/properti/jakarta-timur-jakarta-garden-city/rumah-mewah-termurah-di-dekat-aeon-mall-dan-ikea-jakarta-garden-city-cakung-hos14773444/
34,Rumah Mewah Murah Siap Huni di Pulogebang Cakung Jakarta Timur,"Rp 3,7 Miliar",Jakarta Timur Cakung,363 m²,262 m²,4,5,1,2,SHM,2,https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-mewah-murah-siap-huni-di-pulogebang-cakung-jakarta-timur-hos39979318/
35,Rumah Luas Megah 3 Lantai dengan 5 Kamar Tidur Dijual di Jakarta Timur Sangat Premium,"Rp 5,4 Miliar",Jakarta Timur Jakarta Garden City,105 m²,180 m²,5,5,1,1,Lainnya,3,https://www.rumah123.com/properti/jakarta-timur-jakarta-garden-city/rumah-luas-megah-3-lantai-dengan-5-kamar-tidur-dijual-di-jakarta-timur-sangat-premium-hos40852766/
36,Dijual Rumah Tinggal & Kost-Kosan 2Lt Luas 800M Cipinang Jakarta Timur,Rp 16 Miliar,Jakarta Timur Cipinang,800 m²,800 m²,10,12,,,SHM,2,https://www.rumah123.com/properti/jakarta-timur-cipinang/dijual-rumah-kostkosan-2lt-luas-800m-cipinang-jakarta-timur-hos40956800/
37,Hunian Mewah Nyaman Cocok untuk Keluarga Punya 5 Kamar Dilengkapi Fasilitas Lengkap,"Rp 5,4 Miliar",Jakarta Timur Rawamangun,105 m²,180 m²,5,5,1,1,Lainnya,3,https://www.rumah123.com/properti/jakarta-timur-rawamangun/hunian-mewah-nyaman-cocok-untuk-keluarga-punya-5-kamar-dilengkapi-fasilitas-lengkap-hos40852702/
38,Rumah Mewah di Jaktim Akses Mudah dengan Fasilitas Sangat Lengkap 3 Lantai,"Rp 5,4 Miliar",Jakarta Timur Cakung,105 m²,180 m²,5,5,2,2,Lainnya,3,https://www.rumah123.com/properti/jakarta-timur-cakung/rumah-mewah-di-jaktim-akses-mudah-dengan-fasilitas-sangat-lengkap-3-lantai-hos40855356/
39,Cluster Paling Termurah di Jgc Cakung Jakarta Timur Harga Promo Berkah Ramadhan Free Ac Free Biaya Surat2. di Bantu Lolos KPR bisa Cicil DP,Rp 928 Juta,Jakarta Timur Cakung,50 m²,57 m²,3,2,1,1,SHM,2,https://www.rumah123.com/properti/jakarta-timur-cakung/paling-murahhhh-rumah-cluster-baru-florence-village-di-jgc-hos40714116/
40,Hunian Mewah Cluter Vastu Promo Berkah Ramadhan Cukup 30 Juta Aja Tanpa DP dan Free Biaya2 di Bantu Lolos KPR Tanpa Ribet Bebas Banjir Banyak Bonus Lainnya di Jgc Cakung Jakarta. Timur Aq Dampingi Sampai Dapet Kunci,"Rp 3,16 Miliar",Jakarta Timur Cakung,105 m²,140 m²,4,3,2,1,HGB,2,https://www.rumah123.com/properti/jakarta-timur-cakung/gubrakan-promo-akhir-tahun-mandi-free-ratusan-juta-rumah-mewah-siap-huni-tanpa-dp-di-bantu-lolos-kpr-dan-banyak-bonus-hos16946425/
41,Promo Berkah Ramadhan Discount 35%. Pasti Lebih Murah di Bantu Lolos KPR Banyak Free Lainnya Rumah Siap Huni Bebas Banjir Jgc Cakung Jakarta Timur,"Rp 2,2 Miliar",Jakarta Timur Cakung,105 m²,156 m²,4,4,2,2,HGB,2,https://www.rumah123.com/properti/jakarta-timur-cakung/harga-anjlok-ngabisin-unit-promo-ratusan-juta-free-biaya-surat2-di-bantu-lolos-kpr-banyak-free-lain-rumah-siap-huni-hos18572090/
42,Rumah Siap Huni Deket Tol LRT Cibubur Bebas Custom Layout Dp 0%,Rp 1 Miliar,Jakarta Timur Cibubur,84 m²,87 m²,3,3,,2,SHM,2,https://www.rumah123.com/properti/jakarta-timur-cibubur/rumah-siaphuni-deket-tol-lrt-cibubur-bebas-custom-layout-dp-0-hos40505637/
43,Rumah Mewah Luas Modern Baru 4BR Kota Wisata Cibubur Strategis Free DP,"Rp 3,4 Miliar",Jakarta Timur Cibubur,120 m²,149 m²,4,4,1,1,Lainnya,2,https://www.rumah123.com/properti/jakarta-timur-cibubur/rumah-mewah-luas-modern-baru-4br-kota-wisata-cibubur-strategis-free-dp-hos38996956/
44,Rumah Mewah PIK Garden House Furnish Kolam Renang (450m),Rp 25 Miliar,Jakarta Utara Pantai Indah Kapuk,450 m²,800 m²,5,4,2,2,SHM,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-mewah-pik-garden-house-furnish-kolam-renang-450m-hos39788891/
45,Dijual Rumah Mewah Siapa Huni di Bukit Golf Mediterania Pik,Rp 13 Miliar,Jakarta Utara Pantai Indah Kapuk,325 m²,263 m²,6,6,1,2,SHM,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/dijual-rumah-mewah-siapa-huni-di-bukit-golf-mediterania-pik-hos41191024/
46,Rumah Pluit Karang Cantik Muara Karang Penjaringan Jakarta Utara,Rp 3 Miliar,Jakarta Utara Muara Karang,120 m²,300 m²,4,5,,,SHM,2,https://www.rumah123.com/properti/jakarta-utara-muara-karang/rumah-pluit-karang-cantik-muara-karang-penjaringan-jakarta-utara-hos39159823/
47,Termurah Jual Rumah Hoek 17X18m2 LT Marmer Janur Elok Anti Banjir,"Rp 7,1 Miliar",Jakarta Utara Kelapa Gading,306 m²,360 m²,4,3,,2,SHM,2,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/jual-cepat-rumah-hoek-17x18m2-lt-marmer-janur-elok-anti-banjir-hos41048555/
48,Dijual Rumah Kelapa Gading !! Murah Siap Huni Kosongan 2 Lantai,"Rp 1,1 Miliar",Jakarta Utara Kelapa Gading,60 m²,84 m²,2,2,,1,SHM,2,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/dijual-rumah-kelapa-gading-murah-siap-huni-kosongan-2-lantai-hos39272819/
49,Rumah Siap Huni Minimalis Semifurnished Rumah,"Rp 3,5 Miliar",Jakarta Utara Sunter,96 m²,175 m²,4,3,1,1,SHM,2,https://www.rumah123.com/properti/jakarta-utara-sunter/rumah-siap-huni-minimalis-semifurnished-rumah-hos40558635/
50,Dijual Rumah Brand New Pik 2 Millenial Harga Nego,"Rp 1,25 Miliar",Jakarta Utara Pantai Indah Kapuk 2,45 m²,54 m²,2,2,,,PPJB,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/dijual-rumah-brand-new-pik-2-millenial-harga-nego-hos41105631/
51,Rumah Katamaran Indah Minimalis Modern 4 Lantai Siap Huni,Rp 18 Miliar,Jakarta Utara Pantai Indah Kapuk,312 m²,1050 m²,6,7,,,SHM,4,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-katamaran-indah-minimalis-modern-4-lantai-siap-huni-hos39863613/
52,Rumah 3 Lantai Pantai Indah Kapuk Harga Nego,"Rp 6,6 Miliar",Jakarta Utara Pantai Indah Kapuk,200 m²,350 m²,4,4,,,SHM,3,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/rumah-3-lantai-pantai-indah-kapuk-harga-nego-hos40556892/
53,"Dijual Rumah.mayang Permai, Pantai Indah Kapuk 1","Rp 6,5 Miliar",Jakarta Utara Pantai Indah Kapuk,150 m²,400 m²,5,5,3,2,SHM,4,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/dijual-rumahmayang-permai-pantai-indah-kapuk-1-hos40938899/
54,Paling Murah Vila Pasir Putih 10X20 Akan Terjual Cepat,"Rp 7,5 Miliar",Jakarta Utara Pantai Indah Kapuk 2,200 m²,2353 m²,3,3,,1,SHM,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk-2/paling-murah-vila-pasir-putih-10x20-akan-terjual-cepat-hos41195572/
55,Turun Harga! Rumah 8X20 Mozart Golf Island 3 Lantai Full Furnished Best Deal!,"Rp 8,6 Miliar",Jakarta Utara Pantai Indah Kapuk,160 m²,400 m²,3,3,,2,HGB,3,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/turun-harga-rumah-8x20-mozart-golf-island-3-lantai-full-furnished-best-deal-hos40515956/
56,Turun Harga! Bangunan Kontraktor Uk 7X25 Walet Pik 1 Segera Terjual,"Rp 4,9 Miliar",Jakarta Utara Pantai Indah Kapuk,175 m²,210 m²,4,3,,1,SHM,2,https://www.rumah123.com/properti/jakarta-utara-pantai-indah-kapuk/turun-harga-bangunan-kontraktor-uk-7x25-walet-pik-1-segera-terjual-hos19121000/
57,Rumah Janur Elok Kelapa Gading 2 Lantai 4 Kamar,"Rp 3,5 Miliar",Jakarta Utara Kelapa Gading,108 m²,156 m²,4,2,,2,SHM,2,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/rumah-janur-elok-kelapa-gading-2-lantai-4-kamar-hos41081041/
58,Rumah Bagus Cantik Siap Huni Bukit Gading Mediterania Kelapa Gading Murah,"Rp 4,8 Miliar",Jakarta Utara Kelapa Gading,120 m²,190 m²,4,3,,3,SHM,2,https://www.rumah123.com/properti/jakarta-utara-kelapa-gading/rumah-bagus-cantik-siap-huni-bukit-gading-mediterania-kelapa-gading-murah-hos41121857/
59,"Rumah 2 Lantai Dekat Kfc Cempaka Putih, Jakarta Pusat","Rp 1,4 Miliar",Jakarta Pusat Cempaka Putih,55 m²,72 m²,3,3,,1,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-2-lantai-dekat-kfc-cempaka-putih-jakarta-pusat-hos16149580/
60,"Dekat Akses Tol, Rumah, 4 Lantai, Dekat Sekolah Internasional,","Rp 4,8 Miliar",Jakarta Pusat Kemayoran,120 m²,293 m²,4,4,3,1,Lainnya,4,https://www.rumah123.com/properti/jakarta-pusat-kemayoran/dekat-akses-tol-rumah-4-lantai-dekat-sekolah-internasional-hos40511283/
61,Rumah Baru Brand New Cempaka Putih Semi Furnish SHM,"Rp 4,5 Miliar",Jakarta Pusat Cempaka Putih,115 m²,200 m²,4,3,,2,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-baru-brand-new-cempaka-putih-semi-furnish-shm-hos41089156/
62,Rumah Mewah Belakang Yarsi Cempaka Putih,"Rp 3,5 Miliar",Jakarta Pusat Cempaka Putih,92 m²,172 m²,4,4,1,1,SHM,3,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/rumah-mewah-belakang-yarsi-cempaka-putih-hos41206857/
63,Ready Siap Huni Cempaka Putih,"Rp 1,8 Miliar",Jakarta Pusat Cempaka Putih,63 m²,126 m²,3,3,1,1,SHM,3,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/ready-siap-huni-cempaka-putih-hos40670281/
64,Ready Siap Huni Akses Motor Jakpus,Rp 475 Juta,Jakarta Pusat Cempaka Putih,22 m²,50 m²,2,2,,1,SHM,3,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/ready-siap-huni-akses-motor-jakpus-hos39909974/
65,Kpr Rumah Akses Mobil Cempaka Putih,Rp 900 Juta,Jakarta Pusat Cempaka Putih,27 m²,60 m²,2,2,1,,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-cempaka-putih/kpr-rumah-akses-mobil-cempaka-putih-hos39909830/
66,2 Lantai KPR Siap Huni Kemayoran Lokasi Pinggir Jalan,"Rp 1,3 Miliar",Jakarta Pusat Kemayoran,45 m²,80 m²,2,2,1,1,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-kemayoran/2-lantai-kpr-siap-huni-kemayoran-lokasi-pinggir-jalan-hos39931701/
67,Di Jual Rumah 2Lt Percetakan Negara Dekat Bpom Jakarta Pusat,Rp 733 Juta,Jakarta Pusat Percetakan Negara,38 m²,74 m²,2,2,1,1,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-percetakan-negara/di-jual-rumah-percetakan-negara-dekat-pt-bpom-jakarta-pusat-hos39765694/
68,Di Jual Rumah Dwiwarna 3Lt 869Jt Bebas Banjir,Rp 869 Juta,Jakarta Pusat Sawah Besar,24 m²,45 m²,1,1,1,1,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-sawah-besar/di-jual-rumah-2-lantai-695jt-dwiwarna-jakarta-pusat-hos39322341/
69,Rumah Baru Siaphuni Jakarta Pusat 3 Lantai Pinggir Jalan Sisa 1,"Rp 2,5 Miliar",Jakarta Pusat Thamrin,60 m²,135 m²,4,4,,2,SHM,3,https://www.rumah123.com/properti/jakarta-pusat-thamrin/rumah-baru-siaphuni-jakarta-pusat-3-lantai-pinggir-jalan-sisa-1-hos40488809/
70,Dijual Cepat Rumah atau Landed Apartemen atau Kosts Menguntungkan Seperti Mini Hotel Omset Menguntungkan Karna Sudah Terisi Penyewa bisa untuk Investasi atau bisa Rumah Tinggal atau Kantor atau Buat Ruang Usaha atau Buat Lainnya Lokasi Prime Area Dekat Su,"Rp 54,9 Miliar",Jakarta Pusat Menteng,629 m²,505 m²,8,8,,6,Lainnya,2,https://www.rumah123.com/properti/jakarta-pusat-menteng/dijual-rumah-gaya-kolonial-modern-area-menteng-jakarta-pusat-hos40112108/
71,Dijual Rumah Menteng Luxury Bisa Buat Tempat Tinggal Atau Kantor Bangunan Kokoh Harga Murah Siap Huni Dekat Kuningan Dan Senayan Dan Thamrin Dan Sudirman Area Menteng Jakarta Pusat,Rp 22 Miliar,Jakarta Pusat Menteng,537 m²,600 m²,8,8,,7,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-menteng/dijual-rumah-menteng-luxury-bisa-buat-tempat-tinggal-atau-kantor-bangunan-kokoh-harga-murah-siap-huni-dekat-kuningan-hos40365672/
72,Dijual Cepat Rumah Cantik Murah Lokasi Strategis Dekat Tool Dan Sekolah Dekat Cempaka Putih Dan Menteng Area Kemayoran Jakarta Pusat,"Rp 8,5 Miliar",Jakarta Pusat Kemayoran,251 m²,600 m²,7,5,,3,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-kemayoran/dijual-cepat-rumah-cantik-murah-lokasi-strategis-dekat-tool-dan-sekolah-dekat-cempaka-putih-dan-menteng-area-kemayoran-hos40588008/
73,Rumah 2 Lantai di Menteng Terdiri Dari 3 Pavilion,Rp 50 Miliar,Jakarta Pusat Menteng,795 m²,550 m²,7,5,2,4,SHM,2,https://www.rumah123.com/properti/jakarta-pusat-menteng/rumah-2-lantai-di-menteng-terdiri-dari-3-pavilion-hos41169242/
74,"Dijual Rumah Mewah Classic Eropa Sentul City, 8 Menit Ke Exit Tol","Rp 18,5 Miliar",Bogor Sentul City,867 m²,650 m²,7,8,4,2,SHM,2,https://www.rumah123.com/properti/bogor-sentul-city/dijual-rumah-mewah-classic-eropa-sentul-city-8-menit-ke-exit-tol-hos39459986/
75,"Rumah cantik 2 Lantai Furnished SHM View Pegunungan Sentul City, Bogor","Rp 2,5 Miliar",Bogor Sentul City,200 m²,200 m²,4,3,,2,SHM,2,https://www.rumah123.com/properti/bogor-sentul-city/rumah-cantik-2-lantai-furnished-shm-view-pegunungan-sentul-city-bogor-hos15838760/
76,Rumah Mewah Modern di Legenda Wisata Cibubur,"Rp 3,15 Miliar",Bogor Legenda Wisata,210 m²,250 m²,4,3,,3,SHM,2,https://www.rumah123.com/properti/bogor-legenda-wisata/rumah-mewah-modern-di-legenda-wisata-cibubur-hos17981867/
77,Rumah Dijual di Cluster Bukit Golf Hijau SHM,"Rp 2,35 Miliar",Bogor Sentul City,220 m²,300 m²,5,5,1,1,SHM,2,https://www.rumah123.com/properti/bogor-sentul-city/rumah-dijual-di-cluster-bukit-golf-hijau-shm-hos41121834/
78,"Dijual Rumah Baru 2 Kamar Tidur di Bogor, Murah & Dekat Transum",Rp 590 Juta,Bogor Sentul,60 m²,30 m²,2,1,1,1,SHM,1,https://www.rumah123.com/properti/bogor-sentul/dijual-rumah-baru-2-kamar-tidur-di-bogor-murah-dekat-transum-hos41073856/
79,For Sale Rumah Elit 2 Lantai di Bogor dengan Fasilitas Sangat Lengkap,Rp 2 Miliar,Bogor Sentul City,98 m²,107 m²,4,4,1,1,Lainnya,2,https://www.rumah123.com/properti/bogor-sentul-city/for-sale-rumah-elit-2-lantai-di-bogor-selangkah-ke-teras-by-plataran-summarecon-bogor-hos41099349/
